name,baseCurrency,quoteCurrency,type,bid,change1h
DAI/USDT,DAI,USDT,spot,0.9997,-0.00010001000100010001
DAWN/USD,DAWN,USD,spot,1.6,0.013299556681443952
DENT/USD,DENT,USD,spot,0.002088,0.019961051606621226
DFL/USD,DFL,USD,spot,0.01477,0.0010145417653026716
DKNG/USD,DKNG,USD,spot,14.945,0.004030903594222372
DMG/USD,DMG,USD,spot,0.025,0.0
DMG/USDT,DMG,USDT,spot,0.025,0.0
DODO/USD,DODO,USD,spot,0.296,0.03496503496503497
DOGE/BTC,DOGE,BTC,spot,3.4e-06,0.0029411764705882353
DOGE/USD,DOGE,USD,spot,0.13173,0.009093937502632456
DOGE/USDT,DOGE,USDT,spot,0.1317335,0.009465679254386301
DOT/BTC,DOT,BTC,spot,0.00039067,0.011458872219348163
DOT/JPY,DOT,JPY,spot,1965.4,0.010696287154170524
DOT/USD,DOT,USD,spot,15.125,0.016187533584094572
DOT/USDT,DOT,USDT,spot,15.131,0.017537965327240963
DYDX/USD,DYDX,USD,spot,3.472,0.02176470588235294
EDEN/USD,EDEN,USD,spot,0.2395,0.01694915254237288
EMB/USD,EMB,USD,spot,0.04054,-0.00024172105390379503
ENJ/USD,ENJ,USD,spot,1.06885,0.024652943992340835
ENS/USD,ENS,USD,spot,26.03,-0.004396024464831804
ETH/BRZ,ETH,BRZ,spot,14646.0,0.009300723389596968
ETH/BTC,ETH,BTC,spot,0.0742,0.004466702761234434
ETH/EUR,ETH,EUR,spot,2732.2,0.010196542042263928
ETH/JPY,ETH,JPY,spot,374045.29,0.00981930364705268
ETH/USD,ETH,USD,spot,2871.9,0.009916309163794922
ETH/USDT,ETH,USDT,spot,2871.7,0.00963296301504711
ETHE/USD,ETHE,USD,spot,20.338,0.008979510839906732
EUR/USD,EUR,USD,spot,1.051,0.0005711565920990004
EURT/EUR,EURT,EUR,spot,0.9997,0.0
EURT/USD,EURT,USD,spot,1.0511,0.001141769743101808
EURT/USDT,EURT,USDT,spot,1.0511,0.0011429659967615963
FB/USD,FB,USD,spot,211.36,-4.7198753952895644e-05
FIDA/USD,FIDA,USD,spot,1.09409,-5.482556333266324e-05
FIDA/USDT,FIDA,USDT,spot,1.09119,-1.8275020787836147e-05
FRONT/USD,FRONT,USD,spot,0.40465,0.01272931486334706
FRONT/USDT,FRONT,USDT,spot,0.40465,0.00973175296319401
FTM/USD,FTM,USD,spot,0.77345,0.028784152097321013
FTT/BTC,FTT,BTC,spot,0.0010288,0.0013618677042801556
FTT/JPY,FTT,JPY,spot,5182.2,0.007306676307825083
FTT/USD,FTT,USD,spot,39.836,0.006391632771644393
FTT/USDT,FTT,USDT,spot,39.818,0.006618668687634205
FXS/USD,FXS,USD,spot,22.4025,0.0017887087758524315
GAL/USD,GAL,USD,spot,2.658,-0.0014798372179060304
GALA/USD,GALA,USD,spot,0.13705,0.015179563124768604
