name,baseCurrency,quoteCurrency,type,bid,change1h
DOGEHALF/USD,DOGEHALF,USD,spot,105965.0,0.004345156567326312
DOGEHEDGE/USD,DOGEHEDGE,USD,spot,0.58025,-0.008151481701621804
DRGNBEAR/USD,DRGNBEAR,USD,spot,3.91e-06,-0.03414634146341464
DRGNBULL/USD,DRGNBULL,USD,spot,0.2606,0.043652382859431314
DRGNHALF/USD,DRGNHALF,USD,spot,18546.0,0.008622092077436147
DRGNHEDGE/USD,DRGNHEDGE,USD,spot,51.515,-0.016607807578505298
EOSBEAR/USD,EOSBEAR,USD,spot,9.01e-06,-0.04911180773249739
EOSBEAR/USDT,EOSBEAR,USDT,spot,9e-06,-0.04311251314405889
EOSBULL/USD,EOSBULL,USD,spot,8.17e-06,0.06088082901554404
EOSBULL/USDT,EOSBULL,USDT,spot,8.17e-06,0.05555555555555555
EOSHALF/USD,EOSHALF,USD,spot,6633.0,0.009490547414774885
EOSHEDGE/USD,EOSHEDGE,USD,spot,184.4,-0.018235059230666845
ETCBEAR/USD,ETCBEAR,USD,spot,4e-08,0.0
ETCBULL/USD,ETCBULL,USD,spot,0.0872,0.07755474452554745
ETCHALF/USD,ETCHALF,USD,spot,20778.0,0.00976818778247558
ETCHEDGE/USD,ETCHEDGE,USD,spot,18.6775,-0.018153323756040226
ETHBEAR/USD,ETHBEAR,USD,spot,7e-08,0.2
ETHBEAR/USDT,ETHBEAR,USDT,spot,7e-08,0.25
ETHBULL/USD,ETHBULL,USD,spot,197.45,0.027561102444097763
ETHBULL/USDT,ETHBULL,USDT,spot,197.5,0.028861154446177848
ETHHALF/USD,ETHHALF,USD,spot,27447.0,0.0031431599722232377
ETHHEDGE/USD,ETHHEDGE,USD,spot,14.649,-0.010038401940308563
EXCHBEAR/USD,EXCHBEAR,USD,spot,0.00012945,-0.019746646795827123
EXCHBULL/USD,EXCHBULL,USD,spot,3075.0,0.013513513513513514
EXCHHALF/USD,EXCHHALF,USD,spot,21671.0,0.00032311669128508124
EXCHHEDGE/USD,EXCHHEDGE,USD,spot,75.24,-0.006994852844133562
GRTBEAR/USD,GRTBEAR,USD,spot,5.64e-05,-0.039
GRTBULL/USD,GRTBULL,USD,spot,0.00081575,0.08029908972691807
HALF/USD,HALF,USD,spot,15446.0,0.0030422681079681534
HALFSHIT/USD,HALFSHIT,USD,spot,21109.0,0.004807692307692308
HEDGE/USD,HEDGE,USD,spot,85.88,-0.00796950796950797
HEDGESHIT/USD,HEDGESHIT,USD,spot,52.7,-0.016699318966321486
HTBEAR/USD,HTBEAR,USD,spot,0.00087375,-0.004828326180257511
HTBULL/USD,HTBULL,USD,spot,1.15,0.0
HTHALF/USD,HTHALF,USD,spot,10713.0,0.0
HTHEDGE/USD,HTHEDGE,USD,spot,182.275,0.0
IBVOL/BTC,IBVOL,BTC,spot,0.07415,0.0
IBVOL/USD,IBVOL,USD,spot,2854.5,0.002962962962962963
IBVOL/USDT,IBVOL,USDT,spot,2864.25,0.0001743071291615827
KNCBEAR/USD,KNCBEAR,USD,spot,2.7e-07,0.0
KNCBEAR/USDT,KNCBEAR,USDT,spot,2.7e-07,-0.03571428571428571
KNCBULL/USD,KNCBULL,USD,spot,0.15995,0.0617120106171201
KNCBULL/USDT,KNCBULL,USDT,spot,0.1599,0.041666666666666664
KNCHALF/USD,KNCHALF,USD,spot,13864.0,0.009603142846749846
KNCHEDGE/USD,KNCHEDGE,USD,spot,47.58,-0.01208927464352139
LEOBEAR/USD,LEOBEAR,USD,spot,0.1642,0.0
LEOBULL/USD,LEOBULL,USD,spot,1471.5,0.0
LEOHALF/USD,LEOHALF,USD,spot,15547.0,0.0
LEOHEDGE/USD,LEOHEDGE,USD,spot,462.35,-0.0033417721518987343
LINKBEAR/USD,LINKBEAR,USD,spot,1e-08,0.0
LINKBEAR/USDT,LINKBEAR,USDT,spot,1e-08,0.0
LINKBULL/USD,LINKBULL,USD,spot,0.006745,0.059190031152647975
LINKBULL/USDT,LINKBULL,USDT,spot,0.006725,0.041424699961285325
LINKHALF/USD,LINKHALF,USD,spot,14132.5,0.007929734727259797
LINKHEDGE/USD,LINKHEDGE,USD,spot,15.07,-0.015158415197449744
LTCBEAR/USD,LTCBEAR,USD,spot,0.0003885,-0.027188825143427287
LTCBEAR/USDT,LTCBEAR,USDT,spot,0.0003883,-0.032082922013820334
LTCBULL/USD,LTCBULL,USD,spot,0.002525,0.03145424836601307
LTCBULL/USDT,LTCBULL,USDT,spot,0.002516,0.027777777777777776
LTCHALF/USD,LTCHALF,USD,spot,10525.5,0.004858531008859674
LTCHEDGE/USD,LTCHEDGE,USD,spot,402.0,-0.009730262347579751
MATICBEAR2021/USD,MATICBEAR2021,USD,spot,0.00058,-0.04164948453608248
MATICBULL/USD,MATICBULL,USD,spot,0.0099475,0.04118873826903024
MATICHALF/USD,MATICHALF,USD,spot,73270.0,0.006840881105486387
MATICHEDGE/USD,MATICHEDGE,USD,spot,0.18275,-0.012327482245745678
MIDBEAR/USD,MIDBEAR,USD,spot,0.00013785,-0.025542337298810357
MIDBULL/USD,MIDBULL,USD,spot,9.1425,0.0398066533977822
MIDHALF/USD,MIDHALF,USD,spot,15682.0,0.006337216745615158
MIDHEDGE/USD,MIDHEDGE,USD,spot,102.74,-0.009607070804111826
MKRBEAR/USD,MKRBEAR,USD,spot,0.00010765,-0.05497272345782627
MKRBULL/USD,MKRBULL,USD,spot,2.321,0.06005937428636675
OKBBEAR/USD,OKBBEAR,USD,spot,5e-08,0.0
OKBBULL/USD,OKBBULL,USD,spot,5.495,0.02787130564908343
OKBHALF/USD,OKBHALF,USD,spot,19936.0,0.00432008841111167
OKBHEDGE/USD,OKBHEDGE,USD,spot,13.399,-0.01190824079485681
PAXGBEAR/USD,PAXGBEAR,USD,spot,8080.0,-0.0015446400988569664
PAXGBULL/USD,PAXGBULL,USD,spot,4318.0,0.0
PAXGHALF/USD,PAXGHALF,USD,spot,5396.5,0.0005529699092207733
PAXGHEDGE/USD,PAXGHEDGE,USD,spot,5346.5,-0.000934317481080071
PRIVBEAR/USD,PRIVBEAR,USD,spot,0.0099725,-0.06074876383329409
PRIVBULL/USD,PRIVBULL,USD,spot,1.581,0.049800796812749
PRIVHALF/USD,PRIVHALF,USD,spot,12359.0,0.008493172951885565
PRIVHEDGE/USD,PRIVHEDGE,USD,spot,294.7,-0.018402864518277957
SUSHIBEAR/USD,SUSHIBEAR,USD,spot,1e-08,0.0
SUSHIBULL/USD,SUSHIBULL,USD,spot,1e-07,0.0
SXPBEAR/USD,SXPBEAR,USD,spot,1e-08,0.0
SXPBULL/USD,SXPBULL,USD,spot,3.108e-05,0.013368112161721553
SXPHALF/USD,SXPHALF,USD,spot,10224.0,0.002885791146979702
SXPHALF/USDT,SXPHALF,USDT,spot,10219.5,0.002983468649124523
SXPHEDGE/USD,SXPHEDGE,USD,spot,48.5,-0.005076142131979695
THETABEAR/USD,THETABEAR,USD,spot,2e-08,0.0
THETABULL/USD,THETABULL,USD,spot,0.088525,0.042995027785902314
THETAHALF/USD,THETAHALF,USD,spot,20385.0,0.005003679175864606
THETAHEDGE/USD,THETAHEDGE,USD,spot,18.95,-0.009457183573001684
TOMOBEAR2021/USD,TOMOBEAR2021,USD,spot,1.3835,-0.015019210618232623
TOMOBULL/USD,TOMOBULL,USD,spot,4.09e-06,0.04871794871794872
TOMOHALF/USD,TOMOHALF,USD,spot,13961.0,0.006861371555842943
TOMOHEDGE/USD,TOMOHEDGE,USD,spot,10.056,-0.015705283567619972
TRXBEAR/USD,TRXBEAR,USD,spot,1.3e-07,0.0
TRXBULL/USD,TRXBULL,USD,spot,0.0414,0.06382435537401072
TRXHALF/USD,TRXHALF,USD,spot,17725.0,0.007732105293080903
TRXHEDGE/USD,TRXHEDGE,USD,spot,54.595,-0.00958755426917511
TRYBBEAR/USD,TRYBBEAR,USD,spot,3639.0,0.0
TRYBBULL/USD,TRYBBULL,USD,spot,2678.0,0.0
TRYBHALF/USD,TRYBHALF,USD,spot,5824.5,0.0019783244452090142
TRYBHEDGE/USD,TRYBHEDGE,USD,spot,4775.5,-0.001321406789997967
UNISWAPBEAR/USD,UNISWAPBEAR,USD,spot,0.03627,-0.04259584064144325
UNISWAPBULL/USD,UNISWAPBULL,USD,spot,7.6525,0.024088323854131816
USDTBEAR/USD,USDTBEAR,USD,spot,3388.0,0.0002952465308532625
USDTBULL/USD,USDTBULL,USD,spot,10025.0,0.0
USDTHALF/USD,USDTHALF,USD,spot,6150.25,0.0
USDTHEDGE/USD,USDTHEDGE,USD,spot,4125.5,0.0007252508159071679
VETBEAR/USD,VETBEAR,USD,spot,2.07e-06,-0.0547945205479452
VETBEAR/USDT,VETBEAR,USDT,spot,2.07e-06,-0.0365296803652968
VETBULL/USD,VETBULL,USD,spot,0.003457,0.045942720763723154
VETBULL/USDT,VETBULL,USDT,spot,0.003456,0.03473053892215569
VETHEDGE/USD,VETHEDGE,USD,spot,77.0,-0.012658227848101266
XAUTBEAR/USD,XAUTBEAR,USD,spot,3700.0,0.0
XAUTBULL/USD,XAUTBULL,USD,spot,6637.5,0.0
XAUTHALF/USD,XAUTHALF,USD,spot,6051.0,-0.0008598100229282673
XAUTHEDGE/USD,XAUTHEDGE,USD,spot,4470.5,-0.0003354203935599284
XLMBEAR/USD,XLMBEAR,USD,spot,0.02564,-0.023001508295625944
XLMBULL/USD,XLMBULL,USD,spot,0.0276,0.034879406307977735
XRPBEAR/USD,XRPBEAR,USD,spot,6e-08,0.0
XRPBEAR/USDT,XRPBEAR,USDT,spot,6e-08,0.0
XRPBULL/USD,XRPBULL,USD,spot,0.000221,0.028864059590316574
XRPBULL/USDT,XRPBULL,USDT,spot,0.0002203,0.031608522594240226
XRPHALF/USD,XRPHALF,USD,spot,14474.0,0.0053483364589845105
XRPHEDGE/USD,XRPHEDGE,USD,spot,51.62,-0.009498225079151875
XTZBEAR/USD,XTZBEAR,USD,spot,7.1e-07,-0.04
XTZBEAR/USDT,XTZBEAR,USDT,spot,7.1e-07,-0.05333333333333334
XTZBULL/USD,XTZBULL,USD,spot,0.00074575,0.03576388888888889
XTZBULL/USDT,XTZBULL,USDT,spot,0.0007455,0.07785282616423747
XTZHALF/USD,XTZHALF,USD,spot,7564.5,0.008636726016476215
XTZHEDGE/USD,XTZHEDGE,USD,spot,74.43,-0.011354634275151836
ZECBEAR/USD,ZECBEAR,USD,spot,0.0064975,-0.05618374558303887
ZECBULL/USD,ZECBULL,USD,spot,0.01048,0.1051954732510288
