name,enabled,postOnly,priceIncrement,sizeIncrement,minProvideSize,last,bid,ask,price,type,baseCurrency,isEtfMarket,quoteCurrency,underlying,restricted,highLeverageFeeExempt,largeOrderThreshold,change1h,change24h,changeBod,quoteVolume24h,volumeUsd24h,priceHigh24h,priceLow24h,tokenizedEquity
KNC/USDT,True,False,0.0001,0.1,0.1,4.0321,4.0284,4.0483,4.0321,spot,KNC,False,USDT,,False,True,1000.0,-0.010843166597159188,-0.11532132435219519,0.0,295265.36368,295234.3608168136,4.688,3.9395,
KSHIB-PERP,True,False,1e-05,1.0,1.0,0.02068,0.02068,0.02069,0.02068,future,,False,,KSHIB,False,False,500.0,-0.000966183574879227,-0.043478260869565216,0.000968054211035818,15083670.70826,15083670.70826,0.02175,0.02016,
KSHIB/USD,True,False,1e-06,10.0,10.0,0.020697,0.020658,0.020683,0.020683,spot,KSHIB,False,USD,,False,True,500.0,-0.0011590283479016757,-0.04364914227585888,0.00043532939924542907,160780.37117,160780.37117,0.021768,0.020147,
KSM-PERP,True,False,0.01,0.01,0.01,130.62,130.76,130.77,130.76,future,,False,,KSM,False,False,500.0,0.0014551581527150188,-0.021037658156771732,0.0010718113612004287,4569606.1836,4569606.1836,135.72,126.0,
KSOS-PERP,True,False,5e-07,100.0,100.0,0.0006865,0.000685,0.0006865,0.0006865,future,,False,,KSOS,False,False,500.0,-0.00937950937950938,-0.015770609318996417,0.0021897810218978104,3066614.94385,3066614.94385,0.0007195,0.0006515,
KSOS/USD,True,False,5e-07,100.0,100.0,0.0006865,0.000686,0.000688,0.0006865,spot,KSOS,False,USD,,False,True,500.0,-0.010806916426512969,-0.0178826895565093,0.0,123210.0651,123210.0651,0.000721,0.0006535,
LEO-PERP,True,False,0.0001,1.0,1.0,5.7581,5.7563,5.7621,5.7581,future,,False,,LEO,False,False,500.0,0.00285629691554766,0.039311950616392616,0.0017919899787744876,336522.664,336522.664,5.7764,5.45,
LEO/USD,True,False,0.0001,1.0,1.0,5.7698,5.7631,5.7698,5.7698,spot,LEO,False,USD,,False,True,500.0,0.0023800837372526537,0.039303984436919084,0.00043347840410590743,443322.7813,443322.7813,5.7698,5.4557,
LINA-PERP,True,False,5e-06,10.0,10.0,0.01778,0.017765,0.01777,0.01777,future,,False,,LINA,False,False,500.0,-0.005595970900951315,-0.05503855357617655,0.00028145229383619476,9612133.1358,9612133.1358,0.01948,0.01718,
LINA/USD,True,False,5e-06,10.0,10.0,0.017775,0.01776,0.01779,0.017775,spot,LINA,False,USD,,False,True,500.0,-0.005316172355903749,-0.053766302901251,0.0,333433.87735,333433.87735,0.019485,0.01721,
LINK-PERP,True,False,0.0005,0.1,0.1,11.154,11.1505,11.151,11.151,future,,False,,LINK,False,False,5000.0,-0.006459660533701608,-0.01831147108020072,0.0003139717425431711,42091383.41165,42091383.41165,11.445,10.765,
LINK-0624,True,False,0.0005,0.1,0.1,11.1465,11.149,11.157,11.149,future,,False,,LINK,False,False,5000.0,-0.0066378580656657905,-0.01610554648546088,0.00022428565020409994,235632.5023,235632.5023,11.4195,10.771,
